image,title,content,authors,date
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Илон Маск закрыл сделку по покупке Twitter,"Основатель Tesla Илон Маск закрыл сделку по покупке Twitter за $44 млрд. Предыдущий CEO компании Параг Агравал и ее финансовый директор Нед Сигал покинули штаб-квартиру, сообщает CNBC.",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Команда Telegram запустила платформу Fragment для продажи имен пользователей,Команда мессенджера Telegram запустила маркетплейс Fragment для продажи идентификаторов учетных записей.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Разработчики Filecoin запустили сеть доставки контента Saturn,Создатели платформы децентрализованного хранения данных Filecoin запустили сеть доставки контента Saturn.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Google представил облачный сервис для Web3-разработчиков,"Компания Google представила ориентированный на Web3-разработчиков сервис, призванный упростить развертывание нод.",,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Хакер вывел из DeFi-протокола Team Finance активы на $15,8 млн","Неизвестный использовал уязвимость в DeFi-протоколе Team Finance и вывел криптовалютные активы на $15,8 млн.",,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Huobi прекратит поддержку HUSD и переведет активы пользователей в USDT,Криптовалютная биржа Huobi прекратит поддержку стейблкоина HUSD.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Core Scientific столкнулась с угрозой банкротства,Публичная майнинговая компания и провайдер блокчейн-хостинга Core Scientific до конца года может окончательно исчерпать резервы в виде денежных средств и эквивалентов. Такая информация содержится в отчетности для SEC.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Сэм Бэнкман-Фрид допустил запуск стейблкоина от FTX,"Глава FTX Сэм Бэнкман-Фрид в интервью The Big Whale сообщил, что криптобиржа работает над собственной ""стабильной монетой"".",,2022-10-27T00:00:00
image,title,content,authors,date
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Итоги недели: биткоин пробил $20 000, а Илон Маск закрыл сделку по покупке Twitter","Котировки биткоина пробили уровень $20 000, Илон Маск закрыл сделку по покупке Twitter, команда Telegram запустила платформу Fragment для продажи имен пользователей и другие события уходящей недели.",,2022-10-30T00:00:00
